level	kind	chapter_num	section	title	page_a_print	page_a_print_end	page_a_pdf	page_b	page_b_end
4	subheading	7	7.2	Steric Factors and Hydrogen Bonding Influence Homopolysaccharide Folding	243	245	279	957	961
4	subheading	7	7.2	Peptidoglycan Reinforces the Bacterial Cell Wall	245	245	281	962	962
4	subheading	7	7.2	Glycosaminoglycans Are Heteropolysaccharides of the Extracellular Matrix	245	246	281	962	968
3	section	7	7.3	7.3 Glycoconjugates: Proteoglycans, Glycoproteins, and Glycolipids	247	253	283	969	992
4	subheading	7	7.3	Proteoglycans Are Glycosaminoglycan-Containing Macromolecules of the Cell Surface and Extracellular Matrix	247	251	283	971	984
4	subheading	7	7.3	Glycoproteins Have Covalently Attached Oligosaccharides	251	252	287	985	988
4	subheading	7	7.3	Glycolipids and Lipopolysaccharides Are Membrane Components	253	253	289	989	992
3	section	7	7.4	7.4 Carbohydrates as Informational Molecules: The Sugar Code	254	258	290	993	1006
4	subheading	7	7.4	Oligosaccharide Structures Are Information-Dense	254	254	290	993	993
4	subheading	7	7.4	Lectins Are Proteins That Read the Sugar Code and Mediate Many Biological Processes	254	256	290	994	1000
4	subheading	7	7.4	Lectin-Carbohydrate Interactions Are Highly Specific and Often Multivalent	256	258	292	1001	1006
3	section	7	7.5	7.5 Working with Carbohydrates	258	259	294	1007	1010
3	subheading	7	7.5	Chapter Review	260	262	296	1011	1024
4	subheading	7	7.5	Key Terms	260	260	296	1011	1011
4	subheading	7	7.5	Problems	260	262	296	1012	1024
2	chapter	8		Chapter 8 Nucleotides and Nucleic Acids	263	300	299	1025	1149
3	section	8	8.1	8.1 Some Basic Definitions and Conventions	263	269	299	1028	1046
4	subheading	8	8.1	Nucleotides and Nucleic Acids Have Characteristic Bases and Pentoses	263	266	299	1028	1037
4	subheading	8	8.1	Phosphodiester Bonds Link Successive Nucleotides in Nucleic Acids	266	268	302	1038	1041
4	subheading	8	8.1	The Properties of Nucleotide Bases Affect the Three-Dimensional Structure of Nucleic Acids	268	269	304	1042	1046
3	section	8	8.2	8.2 Nucleic Acid Structure	269	278	305	1047	1077
4	subheading	8	8.2	DNA Is a Double Helix That Stores Genetic Information	269	272	305	1047	1057
4	subheading	8	8.2	DNA Can Occur in Different Three-Dimensional Forms	272	272	308	1058	1060
4	subheading	8	8.2	Certain DNA Sequences Adopt Unusual Structures	272	274	308	1061	1066
4	subheading	8	8.2	Messenger RNAs Code for Polypeptide Chains	274	275	310	1067	1068
4	subheading	8	8.2	Many RNAs Have More Complex Three-Dimensional Structures	275	278	311	1069	1077
3	section	8	8.3	8.3 Nucleic Acid Chemistry	278	293	314	1078	1122
4	subheading	8	8.3	Double-Helical DNA and RNA Can Be Denatured	278	280	314	1078	1084
4	subheading	8	8.3	Nucleotides and Nucleic Acids Undergo Nonenzymatic Transformations	281	282	317	1085	1091
4	subheading	8	8.3	Some Bases of DNA Are Methylated	282	282	318	1092	1092
4	subheading	8	8.3	The Chemical Synthesis of DNA Has Been Automated	282	283	318	1093	1094
4	subheading	8	8.3	Gene Sequences Can Be Amplified with the Polymerase Chain Reaction	283	287	319	1095	1104
4	subheading	8	8.3	The Sequences of Long DNA Strands Can Be Determined	287	290	323	1105	1111
4	subheading	8	8.3	DNA Sequencing Technologies Are Advancing Rapidly	290	293	326	1112	1122
3	section	8	8.4	8.4 Other Functions of Nucleotides	294	296	330	1123	1131
4	subheading	8	8.4	Nucleotides Carry Chemical Energy in Cells	294	294	330	1123	1124
4	subheading	8	8.4	Adenine Nucleotides Are Components of Many Enzyme Cofactors	294	295	330	1125	1127
4	subheading	8	8.4	Some Nucleotides Are Regulatory Molecules	295	296	331	1128	1129
4	subheading	8	8.4	Adenine Nucleotides Also Serve as Signals	296	296	332	1130	1131
3	subheading	8	8.4	Chapter Review	296	300	332	1132	1149
4	subheading	8	8.4	Key Terms	296	296	332	1132	1132
4	subheading	8	8.4	Problems	297	300	333	1133	1149
2	chapter	9		Chapter 9 DNA-Based Information Technologies	300	339	336	1150	1283
3	section	9	9.1	9.1 Studying Genes and Their Products	301	316	337	1154	1201
4	subheading	9	9.1	Genes Can Be Isolated by DNA Cloning	301	302	337	1154	1155
4	subheading	9	9.1	Restriction Endonucleases and DNA Ligases Yield Recombinant DNA	302	305	338	1156	1164
4	subheading	9	9.1	Cloning Vectors Allow Amplification of Inserted DNA Segments	305	308	341	1165	1177
4	subheading	9	9.1	Cloned Genes Can Be Expressed to Amplify Protein Production	308	309	344	1178	1180
4	subheading	9	9.1	Many Different Systems Are Used to Express Recombinant Proteins	309	311	345	1181	1187
4	subheading	9	9.1	Alteration of Cloned Genes Produces Altered Proteins	311	312	347	1188	1190
